,content
0,TENDANT A COMPLETER L'ARTICLE 1411 DU CODE GENERAL DES IMPOTS AFIN DE FAIRE BENEFICIER D'UN ABATTEMENT SUR LA TAXE D'HABITATION LES PERSONNES AGEES DE PLUS DE SOIXANTE-CINQ ANS ET AYANT ELEVE TROIS ENFANTS ET PLUS
1,
2,"TENDANT A ABROGER LA LOI NO 86-1290 DU 23 DECEMBRE 1986 TENDANT A FAVORISER L'INVESTISSEMENT LOCATIF, L'ACCESSION A LA PROPRIETE DE LOGEMENTS SOCIAUX ET LE DEVELOPPEMENT DE L'OFFRE FONCIERE"
3,RELATIVE A CERTAINES MODALITES EXCEPTIONNELLES D'ACCES AUX CORPS DE FONCTIONNAIRES
4,tendant a permettre l'acces a l'apprentissage a partir de l'age de quatorze ans
5,tendant a instituer pour toute personne un droit d'acces direct a son fichier etabli par les services de l'Etat
6,tendant a faciliter l'acces de tous aux soins de sante
7,tendant a interdire l'acces du territoire francais aux anciens membres des organisations nazies declarees criminelles par le Tribunal de Nuremberg
8,"ojet de loi  portant diverses mesures destinees a favoriser l'accessibilite aux personnes handicapees des locaux d'habitation, des lieux de travail et des installations recevant du public"
9,"et plusieurs de ses collègues  TENDANT A PERMETTRE AUX RECEVEURS, RECEVEURS RURAUX ET CHEFS DE CENTRE DES POSTES ET TELECOMMUNICATIONS D'ACCEDER A LA PROPRIETE D'UNE RESIDENCE PRINCIPALE ET A EXCLURE LE LOGEMENT DE FONCTION DES BAREMES D'IMPOSITION"
10,relative a l'indemnisation des victimes d'accidents de la circulation
11,torisant l'approbation d'un accord de cooperation pour la protection des cotes et des eaux de l'Atlantique du Nord-Est contre la pollution (ensemble deux annexes)
12,risant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Bulgarie sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres et un protocole)
13, autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Pologne sur  l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres)
14, d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique federale du Nigeria sur l'encouragement et la protection reciproques des investissements (ensemble un protocole)
15, de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire et democratique d'Ethiopie en vue d'eviter la double imposition en matiere de transport aerien
