,Title,Name,content,
0,ABATTEMENT DE LA TAXE D'HABITATION,Jean Louis MASSON,TENDANT A COMPLETER L'ARTICLE 1411 DU CODE GENERAL DES IMPOTS AFIN DE FAIRE BENEFICIER D'UN ABATTEMENT SUR LA TAXE D'HABITATION LES PERSONNES AGEES DE PLUS DE SOIXANTE-CINQ ANS ET AYANT ELEVE TROIS ENFANTS ET PLUS,
1,abrogation de dispositions du code de la nationalite,Jacques HABERT,relative a l'abrogation de certaines dispositions du code de la nationalite tendant a retirer la nationalite francaise a des Francais n'ayant pas leur residence en France,
2,ABROGEANT LA LOI SUR L'INVESTISSEMENT LOCATIF,Jean-Claude GAYSSOT,"TENDANT A ABROGER LA LOI NO 86-1290 DU 23 DECEMBRE 1986 TENDANT A FAVORISER L'INVESTISSEMENT LOCATIF, L'ACCESSION A LA PROPRIETE DE LOGEMENTS SOCIAUX ET LE DEVELOPPEMENT DE L'OFFRE FONCIERE",
3,ACCES A LA FONCTION PUBLIQUE,Pierre MAUGER,RELATIVE A CERTAINES MODALITES EXCEPTIONNELLES D'ACCES AUX CORPS DE FONCTIONNAIRES,
4,,Jean KIFFER,tendant a permettre l'acces a l'apprentissage a partir de l'age de quatorze ans,
5,acces au fichier des services de l'Etat,François ASENSI,tendant a instituer pour toute personne un droit d'acces direct a son fichier etabli par les services de l'Etat,
6,acces aux soins de sante,Adrien ZELLER,tendant a faciliter l'acces de tous aux soins de sante,
7,acces du territoire francais aux anciens nazis,Jean-Pierre BRARD,tendant a interdire l'acces du territoire francais aux anciens membres des organisations nazies declarees criminelles par le Tribunal de Nuremberg,
8,accessibilite des locaux aux personnes handicapees,"Robert Laucournet, Charles Metzinger","ojet de loi  portant diverses mesures destinees a favoriser l'accessibilite aux personnes handicapees des locaux d'habitation, des lieux de travail et des installations recevant du public",
9,ACCESSION A LA PROPRIETE DES RECEVEURS DES P ET T,Jean-Luc BÉCART,"et plusieurs de ses collègues  TENDANT A PERMETTRE AUX RECEVEURS, RECEVEURS RURAUX ET CHEFS DE CENTRE DES POSTES ET TELECOMMUNICATIONS D'ACCEDER A LA PROPRIETE D'UNE RESIDENCE PRINCIPALE ET A EXCLURE LE LOGEMENT DE FONCTION DES BAREMES D'IMPOSITION",
10,accidents de la circulation,Patrick BALKANY,relative a l'indemnisation des victimes d'accidents de la circulation,
11,accord anti-pollution de l'Atlantique Nord-Est,"René André, Bernard Guyomard",torisant l'approbation d'un accord de cooperation pour la protection des cotes et des eaux de l'Atlantique du Nord-Est contre la pollution (ensemble deux annexes),
12,Accord avec la Bulgarie sur les investissements,"Michel Crucis, Robert Montdargent",risant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Bulgarie sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres et un protocole),
13,Accord avec la Pologne sur les investissements,"Michel Crucis, Xavier Deniau", autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Pologne sur  l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres),
14,accord avec le Nigeria sur les investissements,"Jeanny Lorgeoux, Jean-Pierre Bayle", d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique federale du Nigeria sur l'encouragement et la protection reciproques des investissements (ensemble un protocole),
15,accord avec l'Ethiopie sur le transport aerien,"Jean-Marie Daillet, Yves Guena", de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire et democratique d'Ethiopie en vue d'eviter la double imposition en matiere de transport aerien,
16,accord avec l'URSS sur les investissements,"Roland Nungesser, Claude Estier", autorisant l'approbation d'un accord entre le gouvernement de la Republique francaise et le gouvernement de l'Union des Republiques socialistes sovietiques sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres),
17,accord budgetaire avec le Maroc,"Yves Guena, Philippe Séguin", d'un accord budgetaire entre le gouvernement de la republique francaise et le gouvernement du royaume du Maroc,
18,ACCORD COOPERATION DE RECHERCHE AVEC LA COTE D'IVOIRE ,Maurice Adevah-Poeuf,SANT L'APPROBATION D'UN ACCORD-CADRE RELATIF A L'AIDE ET A LA COOPERATION EN MATIERE DE RECHERCHE SCIENTIFIQUE ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE DE COTE D'IVOIRE,
19,accord culturel avec le Burkina Faso,"Xavier de Villepin, Xavier Deniau"," d'un accord en matiere d'enseignement, de culture, de sports, de communication audiovisuelle et de presse entre le gouvernement de la Republique francaise et le gouvernement du Burkina Faso et d'un echange de lettres rectificatif",
20,accord culturel France-Roumanie,"Bernard Guyomard, Xavier Deniau", autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Roumanie sur le statut et les modalites de fonctionnement des centres culturels,
21,accord de cooperation avec la Republique populaire Lao,"Xavier Deniau, Michel Crucis"," d'un accord de cooperation scientifique, technique et culturelle entre le gouvernement de la Republique francaise et le gouvernement de la Republique populaire Lao",
22,ACCORD DE COOPERATION AVEC LE BANGLADESH,Jean-Marie Daillet,"TE PAR LE SENAT AUTORISANT L'APPROBATION D'UN ACCORD SUR LA COOPERATION CULTURELLE, SCIENTIFIQUE ET TECHNIQUE ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE POPULAIRE DU BANGLADESH",
23,Accord de cooperation technique France-Burkina Faso,"Jean-Pierre Bayle, Jean-Yves Gateaud", d'un accord de cooperation technique en matiere de personnel entre le Gouvernement de la Republique francaise et le Gouvernement du Burkina Faso,
24,accord de protection sociale du personnel de l'OCDE,"Michel Crucis, Pierre Brana","autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et l'organisation de cooperation et de developpement economiques relatif a la protection sociale des membres du personnel employes par ladite organisation sur le territoire francais, signe a Paris le 24 septembre 1991",
25,accord de Schengen,"François Loncle, Xavier de Villepin","risant l'approbation de la convention d'application de l'accord de Schengen du 14 juin 1985 entre les gouvernements des Etats de l'Union economique Benelux, de la Republique federale d'Allemagne et de la Republique francaise relatif a la suppression graduelle des controles aux frontieres communes",
26,accord domanial avec Vanuatu,,Projet de loi autorisant l'approbation d'un accord en matiere domaniale entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique de Vanuatu (ensemble une annexe),
27,accord en matiere de brevets communautaires,Guy Lengagne,"i  autorisant la ratification de l'accord en matiere de brevets communautaires, ensemble la convention relative au brevet europeen pour le marche commun (convention sur le brevet communautaire) et un reglement d'execution, le protocole sur le reglement des litiges en matiere de contrefacon et de validite des brevets communautaires (protocole sur les litiges), le protocole sur les privileges et immunites de la cour d'appel commune, le protocole sur le statut de la cour d'appel commune, ainsi que la ratification du protocole  relatif a",
28,ACCORD ENTRE  FRANCE -INTERPOL,"Emile Didier, Charles Ehrmann",UTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET L'ORGANISATION INTERNATIONALE DE POLICE CRIMINELLE (INTERPOL) RELATIF A LA PROTECTION SOCIALE DES AGENTS DE L'ORGANISATION EMPLOYES SUR LE TERRITOIRE FRANCAIS,
29,accord France - Zaire sur le transport aerien,"Charles Ehrmann, Yves Guena", d'un accord entre le gouvernement de la Republique francaise et le Conseil executif de la Republique du Zaire en vue d'eviter la double imposition en matiere de transport aerien en trafic international,
30,accord France-Argentine sur les investissements,"Hubert Durand-Chastel, Pierre Brana",  autorisant l'approbation de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique argentine sur l'encouragement et la protection reciproques des investissements (ensemble une declaration),
31,ACCORD FRANCE-BANQUE DES ETATS DE L'AFRIQUE CENTRALE,"Emile Didier, Xavier Deniau", AUTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LA BANQUE DES ETATS DE L'AFRIQUE CENTRALE RELATIF A L'ETABLISSEMENT A PARIS D'UN BUREAU DE LA BANQUE DES ETATS DE L'AFRIQUE CENTRALE ET A SES PRIVILEGES ET IMMUNITES SUR LE TERRITOIRE FRANCAIS (ENSEMBLE UNE ANNEXE),
32,Accord France-Bulgarie sur les centres culturels,"Noël Josephe, Michel Crucis"," autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Bulgarie, sur le statut et les modalites de fonctionnement des centres culturels",
33,ACCORD FRANCE-CANADA SUR LES MISSIONS OFFICIELLES,"Charles Ehrmann, Jean-Pierre Bayle",ORISANT L'APPROBATION D'UN ACCORD SOUS FORME D'ECHANGE DE LETTRES ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DU CANADA RELATIF A L'EMPLOI DES MEMBRES DES FAMILLES DES AGENTS DES MISSIONS OFFICIELLES DE CHAQUE ETAT DANS L'AUTRE,
34,accord France-CEE sur les droits a pension,,Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et les communautes europeennes portant sur le transfert de droits a pension (ensemble quatre annexes),
35,accord France-Emirats arabes unis sur les investissements,"Michel Crucis, Jean-Marie Daillet",risant la ratification d'un accord entre la Republique francaise et les Emirats arabes unis sur l'encouragement et la protection reciproques des investissements (ensemble un protocole interpretatif),
36,accord France-Koweit sur l'encouragement des investissements,Daniel Goulet,on d'un accord entre la Republique francaise et l'Etat du Koweit sur l'encouragement et la protection reciproques des investissements (ensemble un protocole interpretatif),
37,accord France-Laos sur les investissements,"Jacques Golliet, Michel Bérégovoy","de l'accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique democratique populaire Lao sur l'encouragement et la protection reciproques des investissements (ensemble un echange de lettres), signe a Paris le 12 decembre 1989",
38,accord France-Monaco sur la construction d'un tunnel,"Charles Ehrmann, Jacques Golliet",utorisant l'approbation d'un accord sous forme d'echange de lettres entre le Gouvernement de la Republique francaise et le Gouvernement de son Altesse Serenissime le Prince de Monaco relatif a la construction d'un tunnel destine a relier le reseau routier monegasque a la Route Nationale 7,
39,accord France-Mongolie sur la protection des investissements,,Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique populaire de Mongolie sur l'encouragement et la protection reciproques des investissements,
40,ACCORD France-ORGANISATION INTERNATIONALE DU CAFE,"Emile Didier, Maurice Adevah-Poeuf", D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET L'ORGANISATION INTERNATIONALE DU CAFE RELATIF AU BUREAU DE CETTE ORGANISATION ET A SES PRIVILEGES ET IMMUNITES SUR LE TERRITOIRE FRANCAIS (ENSEMBLE DEUX ANNEXES),
41,accord France-Suisse sur la peche,"Paul Dhaille, Jacques Golliet","utorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Conseil federal suisse concernant l'exercice de la peche et la protection des milieux aquatiques dans la partie du Doubs formant frontiere entre les deux Etats (ensemble une annexe, un reglement d'application et une declaration)",
42,ACCORD FRANCE-SUISSE SUR L'ASSISTANCE EN CAS DE CATASTROPHE,Jean Laborde,  ADOPTE PAR LE SENAT AUTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE CONSEIL FEDERAL SUISSE SUR L'ASSISTANCE MUTUELLE EN CAS DE CATASTROPHE OU D'ACCIDENT GRAVE,
43,accord France-Tchecoslovaquie sur les investissements,"Michèle Alliot-Marie, Bernard Guyomard",torisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique federative tcheque et slovaque sur l'encouragement et la protection reciproques des investissements,
44,ACCORD FRANCE-UNION INTERNATIONALE DES TELECOMMUNICATIONS,"Charles Ehrmann, André Bettencourt","ORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET L'UNION INTERNATIONALE DES TELECOMMUNICATIONS CONCERNANT LA TENUE, L'ORGANISATION ET LE FINANCEMENT DE LA CONFERENCE DE PLENIPOTENTIAIRES DE L'UNION INTERNATIONALE DES TELECOMMUNICATIONS",
45,accord France-URSS sur la formation ,"André Bellon, Claude Estier", autorisant l'approbation d'un accord entre le gouvernement de la Republique francaise et le gouvernement de l'Union des Republiques socialistes sovietiques relatif a la cooperation pour la formation des hommes dans le domaine economique,
46,accord France-Yemen,,"Projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique du Yemen relatif a la cooperation culturelle, scientifique et technique",
47,accord international de l'energie,"Michel D'Aillieres, Jean-Marie Daillet",risant l'adhesion a l'accord relatif a un programme international de l'energie (tel que amende au 19 mai 1980),
48,accord international sur le caoutchouc naturel,"Xavier de Villepin, Henry Jean-Baptiste",isant l'approbation de l'accord international de 1987 sur le caoutchouc naturel,
49,accord rectifiant la frontiere franco-luxembourgeoise,"Jean-Pierre Bayle, Jean-Yves Le Déaut",risant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement du Grand-Duche de Luxembourg portant rectification de la frontiere franco-luxembourgeoise,
50,accord routier France-Espagne,"André Labarrère, Franz Duboscq", autorisant la ratification de l'accord entre la Republique francaise et le Royaume d'Espagne en vue de la construction d'un tunnel routier au col du Somport,
51,ACCORD SUR LA RADIODIFFUSION EN ASIE ET DANS LE PACIFIQUE,Noël Josephe,AUTORISANT L'ADHESION DE LA FRANCE A UN ACCORD PORTANT CREATION DE L'INSTITUT DE DEVELOPPEMENT DE LA RADIODIFFUSION POUR L'ASIE ET LE PACIFIQUE,
52,ACCORD SUR LE VERSEMENT A LA CEE D'AVANCES POUR 1988,"Daniel Goulet, Josy Moinet",i  AUTORISANT L'APPROBATION D'UN ACCORD INTERVENU AU SEIN DU CONSEIL DES COMMUNAUTES EUROPEENNES ENTRE LES REPRESENTANTS DES GOUVERNEMENTS DES ETATS MEMBRES RELATIF AU VERSEMENT A LA COMMUNAUTE D'AVANCES NON REMBOURSABLES POUR 1988,
53,accordant le RMI aux moins de 25 ans,François D'HARCOURT,tendant a faire beneficier du revenu minimum d'insertion les personnes agees de moins de 25 ans,
54,ACQUISITION DE LA NATIONALITE FRANCAISE,Alain MAYOUD,TENDANT A MODIFIER LES CONDITIONS D'ACQUISITION DE LA NATIONALITE FRANCAISE A RAISON DE LA NAISSANCE ET DE LA RESIDENCE EN FRANCE,
55,ACQUISITION DE LA NATIONALITE FRANCAISE,Alain MAYOUD,RELATIVE A L'ACQUISITION DE LA NATIONALITE FRANCAISE ET AU RETOUR DANS LE PAYS D'ORIGINE,
56,acquisition de la nationalite francaise,André THIEN AH KOON,tendant a faciliter l'acquisition de la nationalite francaise par des residents etrangers de longue date,
57,acquisition de logement par les locataires d'HLM,Philippe DE VILLIERS,tendant a creer un droit a l'acquisition de leur logement par les locataires d'organismes publics,
58,ACQUISITION DE LOTISSEMENTS PAR LES MAIRES ,Henri DE GASTINES,TENDANT A COMPLETER L'ARTICLE 175 DU CODE PENAL AFIN DE PERMETTRE AUX MAIRES ET ADJOINTS DES COMMUNES DE MOINS DE 2000 HABITANTS DE SE RENDRE ACQUEREURS D'UNE PARCELLE D'UN LOTISSEMENT COMMUNAL EN VUE DE FAIRE CONSTRUIRE LEUR HABITATION PERSONNELLE,
59,action en justice des associations d'anciens combattants,Jean-Jacques JÉGOU,tendant a permettre aux associations d'anciens combattants d'ester en justice,
